source§link§author§title§theme§year§content
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Système des beaux-arts, livre 1, chapitre VII.§imagination|art§§Dans l'imagination errante tout est promesse, par des émotions sans mesure ; aussi il se peut bien que le sculpteur sans expérience souhaite quelque matière plastique qui change aussi vite que ses propres inspirations. Mais quand il souhaiterait seulement quelque aide du diable, par laquelle le marbre serait taillé aussitôt selon le désir, il se tromperait encore sur sa véritable puissance. Si le pouvoir d'exécuter n'allait pas beaucoup plus loin que le pouvoir de penser ou de rêver, il n'y aurait point d'artistes... Sans doute un des mouvements les plus naturels de l'artiste est d'ajouter un peu à la nature et de finir cette ébauche ; c'est donner à un fantôme la forme d'un objets. Et c'est ce que peuvent remarquer ceux qui sculptent des cannes ; ils cherchent dans les formes de la racine quelque tête d'animal à peine ébauchée ; mais celui qui est habile marche ici prudemment ; chaque parcelle de bois enlevée détermine un peu plus la forme et conduit à un nouvel essai. Ainsi l'artiste observateur décide par l'action inspirée, afin de percevoir quelque chose. En sorte que son modèle c'est d'abord l'objet et ensuite l'oeuvre. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§espace|mouvement§§Considérons le mouvement dans l'espace. Je puis, tout le long de ce mouvement, me représenter des arrêts impossibles : c'est ce que j'appelle les positions du mobile ou les points par lesquels le mobile passe. Mais avec les positions, fussent-elles en nombre infini, je ne ferai pas du mouvement. Elles ne sont pas des parties du mouvement ; elles sont autant de vues prises sur lui ; elles ne sont, pourrait-on dire, que des suppositions d'arrêt. Jamais le mobile n'est réellement en aucun des points ; tout au plus peut-on dire qu'il y passe. Mais le passage, qui est un mouvement, n'a rien de commun avec un arrêt, qui est immobilité. Un mouvement ne saurait se poser sur une immobilité, car il coïnciderait alors avec elle, ce qui serait contradictoire. Les points ne sont pas dans le mouvement, comme des parties, ni même sous le mouvement, comme des lieux du mobile. Ils sont simplement projetés par nous au-dessous du mouvement, comme autant de lieux où serait, s'il s'arrêtait, un mobile qui par hypothèse ne s'arrête pas. Ce ne sont donc pas, à proprement parler, des positions, mais des suppositions, des vues ou des points de vue de l'esprit.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§La pensée et le mouvant, introduction (deuxième partie), De la position des problèmes (22 janvier 1922).Texte donné au baccalauréat en 1995.§langage|idee|convention§1922§D'où viennent les idées qui s'échangent ? Quelle est la portée des mots ? Il ne faut pas croire que la vie sociale soit une habitude acquise et transmise. L'homme est organisé pour la cité comme la fourmi pour la fourmilière, avec cette différence pourtant que la fourmi possède les moyens tout faits d'atteindre le but, tandis que nous apportons ce qu'il faut pour les réinventer et par conséquent pour en varier la forme. Chaque mot de notre langue a donc beau être conventionnel, le langage n'est pas une convention, et il est aussi naturel à l'homme de parler que de marcher. Or, quelle est la fonction primitive du langage ? C'est d'établir une communication en vue d'une coopération. Le langage transmet des ordres ou des avertissements. Il prescrit ou il décrit. Dans le premier cas, c'est l'appel à l'action immédiate ; dans le second, c'est le signalement de la chose ou de quelqu'une de ses propriétés, en vue de l'action future. Mais, dans un cas comme dans l'autre, la fonction est industrielle, commerciale, militaire, toujours sociale. Les choses que le langage décrit ont été découpées dans le réel par la perception humaine en vue du travail humain. Les propriétés qu'il signale sont les appels de la chose à une activité humaine. Le mot sera donc le même, comme nous le disions, quand la démarche suggérée sera la même, et notre esprit attribuera à des choses diverses la même propriété, se les représentera de la même manière, les groupera enfin sous la même idée, partout où la suggestion du même parti à tirer, de la même action à faire, suscitera le même mot. Telles sont les origines du mot et de l'idée.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat en 1995.De la position des problèmes, philosophie et conversation, pp. 88-89.§langage|societe|travail§1995§L'homme est organisé pour la cité comme la fourmi pour la fourmilière, avec cette différence pourtant que la fourmi possède des moyens tout faits d'atteindre le but, tandis que nous apportons ce qu'il faut pour les réinventer et par conséquent pour en varier la forme. Chaque mot de notre langue a donc beau être conventionnel, le langage n'est pas une convention, et il est aussi naturel à l'homme de parler que de marcher. Or, quelle est la fonction primitive du langage ? C'est d'établir une communication en vue d'une coopération. Le langage transmet des ordres ou des avertissements. Il prescrit ou il décrit. Dans le premier cas, c'est l'appel à l'action immédiate, dans le second, c'est le signalement de la chose ou de quelqu'une de ses propriétés, en vue de l'action future. Mais, dans un cas comme dans l'autre, la fonction est industrielle, commerciale, militaire, toujours sociale. Les choses que le langage décrit ont été découpées dans le réel par la perception humaine en vue du travail humain. Les propriétés qu'il signale sont les appels de la chose à une activité humaine.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Les deux sources de la Morale et de la Religion, Paris, PUF, 1946, pp. 111-113, 124.§illusion|science|experience§1946§Convenons alors de mettre à part les représentations fantasmatiques, et appelons « fabulation » ou « fiction » l'acte qui les fait surgir (...). De cette fonction relèvent le roman, le drame, la mythologie avec tout ce qui la précéda. Mais il n'y a pas toujours eu des romanciers et des dramaturges, tandis que l'humanité ne s'est jamais passée de religion. Il est donc vraisemblable que poèmes et fantaisies de tout genre sont venus par surcroît, profitant de ce que l'esprit savait faire des fables, mais que la religion était la raison d'être de la fonction fabulatrice (...). Or, qu'eût fait la nature, après avoir créé des êtres intelligents, si elle avait voulu parer à certains dangers de l'activité intellectuelle sans compromettre l'avenir de l'intelligence ?L'observation nous fournit la réponse. Aujourd'hui, dans le plein épanouissement de la science, nous voyons les plus beaux raisonnements du monde s'écrouler devant une expérience : rien ne résiste aux faits. Si donc l'intelligence devait être retenue, au début, sur une pente dangereuse pour l'individu et la société, ce ne pouvait être que par des constatations apparentes, par des fantômes de faits : à défaut d'expérience réelle, c'est une contrefaçon de l'expérience qu'il fallait susciter. Une fiction, si l'image est vive et obsédante, pourra précisément imiter la perception et, par là, empêcher ou modifier l'action. Une expérience systématiquement fausse, se dressant devant l'intelligence, pourra l'arrêter a où elle irait trop loin dans les conséquences qu'elle tire de l'expérience vraie. Ainsi aurait donc procédé la nature.Dans ces conditions, on ne s'étonnerait pas de trouver que l'intelligence, aussitôt formée, a été envahie par la superstition, qu'un être essentiellement intelligent est naturellement superstitieux, et qu'il n'y a de superstitieux que les êtres intelligents. (...)Si l'intelligence menace (...) de rompre sur certains points la cohésion sociale, et si la société doit subsister, il faut que, sur ces  points, il y ait à l'intelligence un contrepoids (...). Ainsi s'expliquerait la fonction fabulatrice.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§la Pensée et le Mouvant (1939), Paris, Ed. P.U.F., 1963, pp 1292-1293.§langage|concept|bonheur§1292§Les concepts sont inclus dans les mots. Ils ont, le plus souvent, été élaborés par l'organisme social en vue d'un objet qui n'a rien de métaphysique. Pour les former, la société a découpé le réel selon ses besoins. Pourquoi la philosophie accepterait-elle une division qui a toutes chances de ne pas correspondre aux articulations du réel ? Elle l'accepte pourtant d'ordinaire. Elle subit le problème tel qu'il est posé par le langage. J'ouvre un traité élémentaire de philosophie. Un des premiers chapitres traite du plaisir et de la douleur. On y pose à l'élève une question telle que celle-ci :« Le plaisir est-il ou n'est-il pas le bonheur ? »Mais il faudrait d'abord savoir si plaisir et bonheur sont des genres correspondant à un sectionnement naturel des choses. A la rigueur, la phrase pourrait signifier simplement : « Vu le sens habituel des termes plaisir et bonheur, doit-on dire que le bonheur soit une suite de plaisirs ? »Alors, c'est une question de lexique qui se pose ; on ne la résoudra qu'en cherchant comment les mots « plaisir » et « bonheur » ont été employés par les écrivains qui ont le mieux manié la langue. On aura d'ailleurs travaillé utilement ; on aura mieux défini deux termes usuels, c'est-à-dire deux habitudes sociales. Mais si l'on prétend faire davantage, saisir des réalités et non pas mettre au point des conventions, pourquoi veut-on que des termes peut-être artificiels (on ne sait s'ils le sont ou ils ne le sont pas, puisqu'on n'a pas encore étudié l'objet) posent un problème qui concerne la nature même des choses ? Supposez qu'en examinant les états groupés sous le nom de plaisir on ne leur découvre rien de commun, sinon d'être des états que l'homme recherche : l'humanité aura classé ces choses très différentes dans un même genre, parce qu'elle leur trouvait à tous le même intérêt pratique et réagissait à tous de la même manière.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Les deux sources de la morale et de la religion, Paris, PUF, 1932, pp. 329-331.§illusion|nature|mystique§1932§Que le mysticisme appelle l'ascétisme, cela n'est pas douteux. L'un et l'autre seront toujours l'apanage d'un petit nombre. Mais que le mysticisme vrai, complet, agissant, aspire à se répandre, en vertu de la charité qui en est l'essence, cela est non moins certain. Comment se propagerait-il, même dilué et atténué comme il le sera nécessairement, dans une humanité absorbée par la crainte de ne pas manger à sa faim ? L'homme ne se soulèvera au-dessus de la terre que si un outillage puissant lui fournit le point d'appui. Il devra peser sur la matière s'il veut se détacher d'elle. En d'autres termes, la mystique appelle la mécanique. On ne l'a pas assez remarqué, parce que la mécanique, par un accident d'aiguillage, a été lancée sur une voie au bout de laquelle étaient le bien-être exagéré et le luxe pour un certain nombre plutôt que la libération pour tous. Nous sommes frappés du résultat accidentel, nous ne voyons pas le machinisme dans ce qu'il devait être, dans ce qui en fait l'essence.Allons plus loin. Si nos organes sont des instrument naturels, nos instruments sont par là même des organes artificiels. L'outil de l'ouvrier continue son bras ; l'outillage de l'humanité est donc un prolongement de son corps. La nature, en nous dotant d'une intelligence essentiellement fabricatrice, avait ainsi préparé pour nous un certain agrandissement. Mais des machines qui marchent au pétrole, au charbon, (...) sont venues donner à notre organisme une extension si vaste et une puissance si formidable, si disproportionnée à sa dimension et à sa force, que sûrement il n'en avait rien été prévu dans le plan de structure de notre espèce : ce fut une chance unique, la plus grande réussite matérielle de l'homme sur la planète. Une impulsion spirituelle avait peut-être été imprimée au début : l'extension s'était faite automatiquement, servie par le coup de pioche accidentel qui heurta sous terre un trésor miraculeux.Or, dans ce corps démesurément grossi, l'âme reste ce qu'elle était, trop petite maintenant pour le remplir, trop faible pour le diriger. D'où le vide entre lui et elle. D'où les redoutables problèmes sociaux, politiques, internationaux, qui sont autant de définitions de ce vide et qui, pour le combler, provoquent aujourd'hui tant d'efforts désordonnés et inefficaces : il y faudrait de nouvelles réserves d'énergie potentielle, cette fois morale. Ne nous bornons donc pas à dire, comme nous le faisions plus haut, que la mystique appelle la mécanique. Ajoutons que le corps agrandi attend un supplément d'âme, et que la mécanique exigerait une mystique. Les origines de cette mécanique sont peut-être plus mystiques qu'on ne le croirait ; elle ne retrouvera sa direction vraie, elle ne rendra des services proportionnés à sa puissance, que si l'humanité qu'elle a courbée encore davantage vers la terre arrive par elle à se redresser, et à regarder le ciel.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§L'énergie spirituelle, Paris, Ed. Alcan, 1919, pp 95-96.§inconscient|conscience|memoire§1919§Derrière les souvenirs qui viennent se poser ainsi sur notre occupation présente et se révéler au moyen d'elle, il y en a d'autres, des milliers et des milliers d'autres, en bas, au-dessous de la scène illuminée par la conscience. Oui, je crois que notre vie passée est là, et que tout ce que nous avons perçu, pensé, voulu depuis le premier éveil de notre conscience, persiste indéfiniment.Mais les souvenirs que ma mémoire conserve ainsi dans ses plus obscures profondeurs y sont à l'état de fantômes invisibles. Ils aspirent peut-être à la lumière : ils n'essaient pourtant pas d'y remonter ; ils savent que c'est impossible, et que moi, être vivant et agissant, j'ai autre chose à faire que de m'occuper d'eux.Mais supposez qu'à un moment donné je me désintéresse de la situation présente, de l'action pressante. Supposez, en d'autres termes, que je m'endorme. Alors ces souvenirs immobiles, sentant que je viens d'écarter l'obstacle, de soulever la trappe qui les maintenait dans le sous-sol de la conscience, se mettent en mouvement. Ils se lèvent, ils s'agitent, ils exécutent, dans la nuit de l'inconscient, une immense danse macabre. Et, tous ensemble, ils courent à la porte qui vient de s'entrouvrir.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat en 1995.§technique|travail|liberte§1995§Quand on fait le procès du machinisme, on néglige le grief essentiel (1). On l'accuse d'abord de réduire l'ouvrier à l'état de machine, ensuite d'aboutir à une uniformité de production qui choque le sens artistique. Mais si la machine procure à l'ouvrier un plus grand nombre d'heures de repos, et si l'ouvrier emploie ce supplément de loisir à autre chose qu'aux prétendus amusements qu'un industrialisme mal dirigé a mis à la portée de tous, il donnera à son intelligence le développement qu'il aura choisi, au lieu de s'en tenir à celui que lui imposerait, dans des limites toujours restreintes, le retour (d'ailleurs impossible) à l'outil, après suppression de la machine. Pour ce qui est de l'uniformité de produit, l'inconvénient en serait négligeable si l'économie de temps et de travail, réalisée ainsi par l'ensemble de la nation, permettait de pousser plus loin la culture intellectuelle et de développer les vraies originalités. BERGSON(1) Ce grief (ou ce reproche) essentiel, c'est, selon Bergson, d'avoir poussé au luxe. Questions :1. Dégagez l'idée directrice et les articulations du texte. 2. Expliquez les expressions suivantes : a. « réduire l'ouvrier à l'état de machine »b. les « prétendus amusements » et « les vraies originalités » 3. Le machinisme est-il un obstacle au développement de la culture ?
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat en 1996.§societe|pouvoir|autorite§1996§Le souvenir du fruit défendu est ce qu'il y a de plus ancien dans la mémoire de chacun de nous, comme dans celle de l'humanité. Nous nous en apercevrions si ce souvenir n'était recouvert par d'autres, auxquels nous préférons nous reporter. Que n'eût pas été notre enfance si l'on nous avait laissé faire ! Nous aurions volé de plaisirs en plaisirs. Mais voici qu'un obstacle surgissait, ni visible ni tangible : une interdiction. Pourquoi obéissons-nous ? La question ne se posait guère ; nous avions pris l'habitude d'écouter nos parents et nos maîtres. Toutefois nous sentions bien que c'était parce qu'ils étaient nos parents, parce qu'ils étaient nos maîtres. Donc, à nos yeux, leur autorité leur venait moins d'eux-mêmes que de leur situation par rapport à nous. Ils occupaient une certaine place : c'est de là que partait, avec une force de pénétration qu'il n'aurait pas eue s'il avait été lancé d'ailleurs, le commandement. En d'autres termes, parents et maîtres semblaient agir par délégation. Nous ne nous en rendions pas nettement compte, mais derrière nos parents et nos maîtres nous devinions quelque chose d'énorme ou plutôt d'indéfini, qui pesait sur nous de toute sa masse par leur intermédiaire. Nous dirions plus tard que c'est la société.BERGSON
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§art|creation|intuition§§L'oeuvre géniale est le plus souvent sortie d'une émotion unique en son genre, qu'on eût crue inexprimable, et qui a voulu s'exprimer. Mais n'en est-il pas ainsi de toute oeuvre, si imparfaite soit-elle, où entre une part de création ? Quiconque s'exerce à la composition littéraire a pu constater la différence entre l'intelligence laissée à elle-même et celle que consume de son feu l'émotion originale et unique, née d'une coïncidence entre l'auteur et son sujet, c'est-à-dire d'une intuition. Dans le premier cas l'esprit travaille à froid, combinant entre elles des idées, depuis longtemps coulées en mots, que la société lui livre à l'état solide. Dans le second, il semble que les matériaux fournis par l'intelligence entrent préalablement en fusion et qu'ils se solidifient ensuite à nouveau en idées cette fois informées par l'esprit lui-même : si ces idées trouvent des mots préexistant pour les exprimer, cela fait pour chacune l'effet d'une bonne fortune inespérée ; et, à vrai dire, il a souvent fallu aider la chance, et forcer le sens du mot pour qu'il se modelât sur la pensée. L'effort est cette fois douloureux, et le résultat aléatoire. Mais c'est alors seulement que l'esprit se sent ou se croit créateur. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§societe|individu|liberte§§La société, qui est la mise en commun des énergies individuelles, bénéficie des efforts de tous et rend à tous leur effort plus facile. Elle ne peut subsister que si elle se subordonne l'individu, elle ne peut progresser que si elle le laisse faire : exigences opposées, qu'il faudrait réconcilier. Chez l'insecte, la première condition est seule remplie. Les sociétés de fourmis et d'abeilles sont admirablement disciplinées et unies, mais figées dans une immuable routine. Si l'individu s'y oublie lui-même, la société oublie aussi sa destination ; l'un et l'autre, en état de somnambulisme, font et refont indéfiniment le tour du même cercle, au lieu de marcher, droit en avant, à une efficacité sociale plus grande et à une liberté individuelle plus complète. Seules, les sociétés humaines tiennent fixés devant leurs yeux les deux buts à atteindre. En lutte avec elles-mêmes et en guerre les unes avec les autres, elles cherchent visiblement par le frottement et par le choc, à arrondir des angles, user des antagonismes, à éliminer des contradictions, à faire que les volontés individuelles s'insèrent sans se déformer dans la volonté sociale et que les diverses sociétés entrent à leur tour, sans perdre leur originalité ni leur indépendance, dans une société plus vaste : spectacle inquiétant et rassurant, qu'on ne peut contempler sans se dire qu'ici encore, à travers des obstacles sans nombre, la vie travaille à individuer et à intégrer pour obtenir la quantité la plus grande, la variété la plus riche, les qualités les plus hautes d'invention et d'effort.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§L'évolution créatrice, P.U.F., p. 264.§conscience|liberte|animal§§Radicale aussi, par conséquent, est la différence entre la conscience de l'animal, même le plus intelligent, et la conscience humaine. Car la conscience correspond exactement à la puissance de choix dont l'être vivant dispose ; elle est coextensive à la frange d'action possible qui entoure l'action réelle : conscience est synonyme d'invention et de liberté. Or, chez l'animal, l'invention n'est jamais qu'une variation sur le thème de la routine. Enfermé dans les habitudes de l'espèce, il arrive sans doute à les élargir par son initiative individuelle ; mais il n'échappe à l'automatisme que pour un instant, juste le temps de créer un automatisme nouveau : les portes de sa prison se referment aussitôt ouvertes ; en tirant sur sa chaîne il ne réussit qu'à l'allonger. Avec l'homme, la conscience brise la chaîne.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Essai sur les données immédiates de la conscience, PUF, p.128-129.§liberte|conscience|action§§Nous accorderons d'ailleurs au déterminisme que nous abdiquons souvent notre liberté dans des circonstances plus graves, et que par inertie ou mollesse. nous laissons ce même processus local s'accomplir alors que notre personnalité tout entière devrait pour ainsi dire vibrer. Quand nos amis les plus sûrs s'accordent à nous conseiller un acte important, les sentiments qu'ils expriment avec tant d'insistance viennent se poser à la surface de notre moi, et s'y solidifier à la manière des idées dont nous parlions tout à l'heure. Petit à petit ils formeront une croûte épaisse qui recouvrira nos sentiments personnels ; nous croirons agir librement, et c'est seulement en y réfléchissant plus tard que nous reconnaîtrons notre erreur. Mais aussi, au moment où l'acte va s'accomplir, il n'est pas rare qu'une révolte se produise.C'est le moi d'en bas qui remonte à la surface. C'est la croûte extérieure qui éclate, cédant à une irrésistible poussée. Il s'opérait donc. dans les profondeurs de ce moi, et au-dessous de ces arguments très raisonnablement juxtaposés, un bouillonnement et par là même une tension croissante de sentiments et d'idées, non point inconscients sans ; doute, mais auxquels nous ne voulions pas prendre garde. En y réfléchissant bien. en recueillant avec soin nos souvenirs, nous verrons que nous avons formé nous-mêmes ces idées, nous-mêmes vécu ces sentiments ? mais que, par une inexplicable répugnance à vouloir, nous les avions repoussés dans les profondeurs obscures de notre être chaque fois qu'ils émergeaient à la surface. Et c'est pourquoi nous cherchons en vain à expliquer notre brusque changement de résolution par les circonstances apparentes qui le précédèrent. Nous voulons savoir en vertu de quelle raison nous nous sommes décidés, et nous trouvons que nous nous sommes décidés sans raison. peut-être même contre toute raison. Mais c'est là précisément, dans certains cas, la meilleure des raisons. Car l'action accomplie n'exprime plus alors telle idée superficielle, presque extérieure à nous, distincte et facile à exprimer : elle répond à l'ensemble de nos sentiments, de nos pensées et de nos aspirations les plus intimes. à cette conception particulière de la vie qui est l'équivalent de toute notre expérience passée, bief, à notre idée personnelle du bonheur et de l'honneur. Aussi a-t-on eu tort, pour prouver que l'homme est capable de choisir sans motif, d'aller chercher des exemples dans les circonstances ordinaires et même indifférentes de la vie. On montrerait sans peine que ces actions insignifiantes sont lices à quelque motif déterminant. C'est dans les circonstances solennelles, lorsqu'il s'agit de l'opinion que nous donnerons de nous aux autres et surtout à nous-mêmes que nous choisissons en dépit de ce qu'on est convenu d'appeler un motif ; et cette absence de toute raison tangible est d'autant plus frappante que nous sommes plus profondément libres.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Discours du 8 avril 1913 au comité France-Amérique , in Mélanges, PUF, p. 999-100.§langage|pensee|metaphore§1913§En réalité , il n'y a pas d'idée philosophique, si profonde ou si subtile soit-elle, qui ne puisse s'exprimer dans la langue de tout le monde. Plus les mots que nous choisirons seront ordinaires, mieux ils traduiront ce que nous pensons, pourvu que nous ayons réellement pris la peine de penser. Il faudra les choisir comme il faut, et surtout les arranger entre eux comme il faut ; mais leur banalité même est ce qui les rendra propres à exprimer une pensée originale  de même que c'est le caractère non spécialisé, en quelque sorte, de la ligne droite, qui fait qu'avec des éléments rectilignes infinitésimaux on peut reconstituer n'importe quelle courbe spéciale. Les termes dits « philosophiques » emmagasinent des distinctions toutes faites, des idées toutes faites, des théories toutes faites ; on les juge commodes, au début, parce qu'ils sont là, comme des vêtements de confection, tout prêts à être utilisés. Mais ils ne se moulent pas plus sur la forme de la pensée que des vêtements de confection sur la forme du corps ; plus on renonce aux attitudes convenues, plus on les trouve gênants  si bien que ce qui était apparu d'abord comme un vêtement commode finit par être une véritable camisole de force pour la pensée.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§La pensée et le mouvant, Essais et conférences, V. La perception du changement.Texte donné au baccalauréat L en 1997.§art|conscience|verite§1997§ A quoi vise l'art, sinon à nous montrer, dans la nature et dans l'esprit, hors de nous et en nous, des choses qui ne frappaient pas explicitement nos sens et notre conscience ? Le poète et le romancier qui expriment un état d'âme ne le créent certes pas de toutes pièces ; ils ne seraient pas compris de nous si nous n'observions pas en nous, jusqu'à un certain point, ce qu'ils nous disent d'autrui. Au fur et à mesure qu'ils nous parlent, des nuances d'émotion et de pensée nous apparaissent qui pouvaient être représentées en nous depuis longtemps, mais qui demeuraient invisibles : telle, l'image photographique qui n'a pas encore été plongée dans le bain où elle se révélera. Le poète est ce révélateur. Mais nulle part la fonction de l'artiste ne se montre aussi clairement que dans celui des arts qui fait la plus large place à l'imitation, je veux dire la peinture. Les grands peintres sont des hommes auxquels remonte une certaine vision des choses qui est devenue ou qui deviendra la vision de tous les hommes. Un Corot, un Turner, pour ne citer que ceux-là, ont aperçu dans la nature bien des aspects que nous ne remarquions pas. Dira-t-on qu'ils n'ont pas vu, mais crée, qu'ils nous ont livré les produits de leur imagination, que nous adoptons leurs inventions parce qu'elles nous plaisent, et que nous nous amusons simplement à regarder la nature à travers l'image que les grands peintres nous en ont tracée ? C'est vrai dans une certaine mesure mais s'il en était uniquement ainsi, pourquoi dirions-nous de certaines oeuvres  celles des maîtres  qu'elles sont vraies ?
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§L'évolution créatrice, chap. IV, PUF Quadrige, p. 335.Texte donné au baccalauréat.§art|temps|duree§§Quand l'enfant s'amuse à reconstituer une image en assemblant les pièces d'un jeu de patience, il y réussit de plus en plus vite à mesure qu'il s'exerce davantage. La reconstitution était d'ailleurs instantanée, l'enfant la trouvait toute faite, quand il ouvrait la boîte au sortir du magasin. L'opération n'exige donc pas un temps déterminé, et même, théoriquement, elle n'exige aucun temps. C'est que le résultat en est donné. C'est que l'image est créée déjà et que, pour l'obtenir, il suffit d'un travail de recomposition et de réarrangement,   travail qu'on peut supposer allant de plus en plus vite, et même infiniment vite au point d'être instantané. Mais, pour l'artiste qui crée une image en la tirant du fond de son âme, le temps n'est plus un accessoire. Ce n'est pas un intervalle qu'on puisse allonger ou raccourcir sans en modifier le contenu. La durée de son travail fait partie intégrante de son travail. La contracter ou la dilater serait modifier à la fois l'évolution psychologique qui la remplit et l'invention qui en est le terme. Le temps d'invention ne fait qu'un ici avec l'invention même. C'est le progrès d'une pensée qui change au fur et à mesure qu'elle prend corps. Enfin c'est un processus vital, quelque chose comme la maturation d'une idée.Le peintre est devant sa toile, les couleurs sont sur la palette, le modèle pose ; nous voyons tout cela, et nous connaissons aussi la manière du peintre : prévoyons-nous ce qui apparaîtra sur la toile ? Nous possédons les éléments du problème ; nous savons, d'une connaissance abstraite, comment il sera résolu, car le portrait ressemblera sûrement au modèle et sûrement aussi à l'artiste ; mais la solution concrète apporte avec elle cet imprévisible rien qui est le tout de l'oeuvre d'art. Et c'est ce rien qui prend du temps.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§L'évolution créatrice, P.U.F., p. 264-265.§conscience|animal§§Comment n'être pas frappé du fait que l'homme est capable d'apprendre n'importe quel exercice, de fabriquer n'importe quel objet, enfin d'acquérir n'importe quelle habitude motrice, alors que la faculté de combiner des mouvements nouveaux est strictement limitée chez l'animal le mieux doué, même chez le singe ? La caractéristique cérébrale de l'homme est là. Le cerveau humain est fait, comme tout cerveau, pour monter des mécanismes moteurs et pour nous laisser choisir parmi eux, à un instant quelconque, celui que nous mettrons en mouvement par un jeu de déclic. Mais il diffère des autres cerveaux en ce que le nombre des mécanismes qu'il peut monter, et par conséquent le nombre des déclics entre lesquels il donne le choix, est indéfini. Or, du limité à l'illimité il y a toute la distance du fermé à l'ouvert. Ce n'est pas une différence de degré, mais de nature.Radicale aussi, par conséquent, est la différence entre la conscience de l'animal, même le plus intelligent, et la conscience humaine. Car la conscience correspond exactement à la puissance de choix dont l'être vivant dispose ; elle est coextensive à la frange d'action possible qui entoure l'action réelle : conscience est synonyme d'invention et de liberté. Or, chez l'animal, l'invention n'est jamais qu'une variation sur le thème de la routine. Enfermé dans les habitudes de l'espèce, il arrive sans doute à les élargir par son initiative individuelle ; mais il n'échappe à l'automatisme que pour un instant, juste le temps de créer un automatisme nouveau : les portes de sa prison se referment aussitôt ouvertes ; en tirant sur sa chaîne il ne réussit qu'à l'allonger. Avec l'homme, la conscience brise la chaîne. Chez l'homme, et chez l'homme seulement, elle se libère.
